,attribute_1,attribute_2,attribute_3,label
135,-1.711655112,0.40326454,11.91398598,0
136,-1.897689944,-0.91800477,12.29457517,0
137,-2.348792038,0.252496627,12.28374825,0
138,-2.026599224,0.820321797,12.92687534,0
139,-2.672395866,1.359948542,12.1990855,0
140,-2.695300155,-0.090382007,11.20904838,0
141,-1.478788109,1.36759724,11.06220489,0
142,-1.292611497,1.034409886,12.13532791,0
143,-0.669319033,-0.99621264,10.40125452,0
144,0.654608401,-1.217938512,10.91921271,0
145,0.439125105,-0.304963638,9.898928271,0
146,0.06067222,1.028935493,9.39803752,0
147,1.663777164,-0.072287008,8.827664588,0
148,1.064528723,-0.600657558,8.888210052,0
149,2.128513474,1.55224318,7.54427331,0
